1,Andrew,A,Harb,M,PR,856 Pennsylvania Avenue,Piscataway,NJ,8854,aharb@staff.university.com,aharb1230!,732-401-0975,1,12/27/83,151-08-7931,16
2,Nadine,K,Reinhard,F,DH,496 Rockwell Lane,Elizabeth City,NC,27909,nreinhard@staff.university.com,nreinhard1230!,252-573-0761,1,4/28/81,245-55-5500,1
3,Mark,P,Robinson,M,AF,2000 Franklin Avenue,Point Comfort,TX,77978,mrobinson@staff.university.com,mrobinson1230!,361-987-6403,1,4/27/76,640-96-5779,3
4,Ying,Y,Ku,F,TF,438 Clay Street,Indianapolis,IN,46214,yku@staff.university.com,yku1230!,317-446-8210,1,2/3/77,317-23-7204,3
5,Timmie,N,Karlsson,M,TF,899 Eagle Street,Olney,IL,62450,tkarlsson@staff.university.com,tkarlsson1230!,618-395-9143,1,4/17/76,351-96-8833,3
6,Sanaa',Y,Seif,F,TF,3838 Chenoweth Drive,Crossville,TN,38555,sseif@staff.university.com,sseif1230!,931-484-3212,1,9/30/69,759-01-1590,3
7,Muminah,B,Nazari,F,AD,4951 Bridge Avenue,Scott,LA,70583,mnazari@staff.university.com,mnazari1230!,337-714-8083,1,8/12/60,438-79-4722,14
8,Oscar,I,Pritchard,M,DH,2012 Hedge Street,Elizabeth,NJ,7201,opritchard@staff.university.com,opritchard1230!,908-659-9973,1,10/28/86,157-74-8465,2
9,Oliwia,I,Pettersson,F,DH,201 Hamill Avenue,San Diego,CA,92111,opettersson@staff.university.com,opettersson1230!,858-430-5035,1,8/12/69,546-63-4484,3
10,Magali,V,Longoria,F,TF,1319 Riverside Drive,Atlanta,GA,30346,mlongoria@staff.university.com,mlongoria1230!,706-815-8808,1,1/21/61,253-13-1362,3
11,Luca,K,Kastner,M,TF,1525 Frum Street,Nashville,TN,37027,lkastner@staff.university.com,lkastner1230!,615-370-3091,1,1/14/56,410-53-3984,3
12,Carol,S,Dye,F,BT,2777 Bernardo Street,Tampa,FL,33607,cdye@staff.university.com,cdye1230!,813-292-5353,1,5/31/91,262-47-1491,16
13,Jawharah,S,Halabi,F,AM,4271 Hillhaven Drive,Hollywood,CA,90028,jhalabi@staff.university.com,CA90028univ,323-836-0424,1,9/18/64,556-76-6339,15
14,Jing,M,Ko,F,AM,1773 Oakridge Lane,Dallas,TX,75234,jko@staff.university.com,TX75234univ,469-826-1544,1,8/19/79,642-44-0702,15
15,Zachary,A,Banks,M,BT,1758 Stone Lane,Philadelphia,PA,19107,zbanks@staff.university.com,zbanks1230!,610-390-4130,1,9/9/55,173-62-9992,16
16,Gang,F,Tien,M,AM,4904 Canis Heights Drive,Los Angeles,CA,90017,gtien@staff.university.com,CA90017univ,213-784-1017,1,6/14/76,561-43-6184,15
17,Malin,I,Lindström,F,BT,2919 Leverton Cove Road,Springfield,MA,1103,mlindström@staff.university.com,mlindström1230!,413-433-1465,1,11/11/88,027-26-2651,16
18,Bradly,M,Dowell,M,AF,3697 Roguski Road,Shreveport,LA,71101,bdowell@staff.university.com,bdowell1230!,318-315-2695,1,10/7/63,665-05-8899,3
19,Tao,Y,Fang,M,TF,1171 Olive Street,Wauseon,OH,43567,tfang@staff.university.com,tfang1230!,419-335-2572,1,5/22/83,268-40-1430,3
20,Ruqayya,H,Ganim,F,TF,232 Davisson Street,Lafayette,IN,47905,rganim@staff.university.com,rganim1230!,765-772-7949,1,10/21/85,316-04-4238,3
21,Reda,M,Mustafa,M,TF,3134 Sunny Day Drive,Anaheim,CA,92805,rmustafa@staff.university.com,rmustafa1230!,714-776-7152,1,5/27/71,610-78-4328,3
22,Lahab,M,Asfour,M,AF,4027 Rosebud Avenue,Wilmot,AR,71676,lasfour@staff.university.com,lasfour1230!,870-473-3672,1,1/22/80,431-41-5732,3
23,Gabriel,C,Kelly,M,TF,4807 Randolph Street,Cambridge,MA,2141,gkelly@staff.university.com,gkelly1230!,508-714-1536,1,12/29/72,021-01-3121,3
24,Emir,S,Shalhoub,M,TF,51 Park Avenue,Elk Grove,CA,95624,eshalhoub@staff.university.com,eshalhoub1230!,916-525-1149,1,2/8/83,624-90-3920,3
25,Rafael,J,Samuelsson,M,PE,3878 Diane Street,San Luis Obispo,CA,93401,rsamuelsson@staff.university.com,rsamuelsson1230!,805-475-6412,1,10/19/56,614-40-9937,16
26,Uwe,L,Kalb,M,DH,4054 Chapmans Lane,Socorro,NM,87801,ukalb@staff.university.com,ukalb1230!,505-835-9662,1,7/28/67,585-89-1083,4
27,Theresa,T,Roy,F,DH,851 Stoney Lonesome Road,Center Moreland,PA,18657,troy@staff.university.com,troy1230!,570-333-5391,1,2/5/66,208-01-2322,5
28,Leonardo,M,Mårtensson,M,DH,3561 Half and Half Drive,Wishon,CA,93664,lmårtensson@staff.university.com,lmårtensson1230!,559-865-7553,1,6/19/79,568-19-8971,6
29,Jawdah,G,Samaha,M,AF,243 Stutler Lane,Westerville,PA,43081,jsamaha@staff.university.com,jsamaha1230!,814-434-1145,1,10/9/71,193-24-7618,3
30,Hui Ying,W,Su,F,TF,2285 Ferguson Street,Boston,MA,2110,hsu@staff.university.com,hsu1230!,508-449-5661,1,9/9/83,013-40-5295,3
31,Omran,K,Tahan,M,AF,236 Chandler Drive,Billings,MO,65610,otahan@staff.university.com,otahan1230!,417-744-2207,1,12/21/91,494-90-3353,1
32,Lavern,S,Roberge,M,DH,4246 Robinson Lane,Athens,OH,45701,lroberge@staff.university.com,lroberge1230!,740-416-7535,1,4/29/79,299-68-1183,7
33,Feng,M,Kê,M,TF,1357 Hidden Pond Road,Nashville,TN,37212,fkê@staff.university.com,fkê1230!,615-702-3850,1,6/29/76,760-01-9241,1
34,Michelle,L,Cornejo,F,TF,4219 Dale Avenue,Kent,WA,98031,mcornejo@staff.university.com,mcornejo1230!,253-859-6171,1,8/3/78,531-37-3637,1
35,Demi,J,O'Brien,F,TF,1585 Edwards Street,Beaufort,NC,28516,do'brien@staff.university.com,do'brien1230!,252-838-0512,1,3/6/74,688-03-6547,1
36,Xia He,T,Hsu,F,AF,875 Radford Street,Bardstown,KY,40004,xhsu@staff.university.com,xhsu1230!,502-348-6913,1,11/3/80,407-27-7520,1
37,Noah,E,Sims,M,DH,1582 Trainer Avenue,Chillicothe,IL,61523,nsims@staff.university.com,nsims1230!,309-576-6544,1,1/24/66,337-76-6284,8
38,Magda,F,Danielsson,F,AF,1548 Derek Drive,Akron,OH,44308,mdanielsson@staff.university.com,mdanielsson1230!,330-331-6643,1,6/24/63,291-68-1251,2
39,Meng,L,Hsu,M,TF,724 Meadow Drive,Gracemont,OK,73042,mhsu@staff.university.com,mhsu1230!,405-966-4086,1,3/8/68,448-22-7581,2
40,Guy,J,Garcia,M,TF,4533 Apple Lane,Dunlap,IL,61525,ggarcia@staff.university.com,ggarcia1230!,309-243-2019,1,2/28/85,333-18-1721,2
